exp,tx,replicate,time_min,isc_uA_per_cm2
exp19-35,ctrl25_10uM_vx770_vx809,r1,15.48333333,0.015258789
exp19-35,ctrl25_10uM_vx770_vx809,r1,15.56666667,-0.079345703
exp19-35,ctrl25_10uM_vx770_vx809,r1,15.65,0.048828125
exp19-35,ctrl25_10uM_vx770_vx809,r1,15.73333333,-0.015258789
exp19-35,ctrl25_10uM_vx770_vx809,r1,15.81666667,-0.006103515
exp19-35,ctrl25_10uM_vx770_vx809,r1,15.9,-0.045776367
exp19-35,ctrl25_10uM_vx770_vx809,r1,15.98333333,-0.067138672
exp19-35,ctrl25_10uM_vx770_vx809,r1,16.06666667,-0.048828125
exp19-35,ctrl25_10uM_vx770_vx809,r1,16.15,-0.042724609
exp19-35,ctrl25_10uM_vx770_vx809,r1,16.23333333,-0.076293945
exp19-35,ctrl25_10uM_vx770_vx809,r1,16.31666667,-0.048828125
exp19-35,ctrl25_10uM_vx770_vx809,r1,16.4,0.006103516
exp19-35,ctrl25_10uM_vx770_vx809,r1,16.48333333,0.051879883
exp19-35,ctrl25_10uM_vx770_vx809,r1,16.56666667,-0.061035156
exp19-35,ctrl25_10uM_vx770_vx809,r1,16.66666667,-0.137329101
exp19-35,ctrl25_10uM_vx770_vx809,r1,16.75,0.079345703
exp19-35,ctrl25_10uM_vx770_vx809,r1,16.83333333,-0.018310547
exp19-35,ctrl25_10uM_vx770_vx809,r1,16.91666667,0.015258789
exp19-35,ctrl25_10uM_vx770_vx809,r1,17,-0.112915039
exp19-35,ctrl25_10uM_vx770_vx809,r1,17.08333333,-0.064086914
exp19-35,ctrl25_10uM_vx770_vx809,r1,17.16666667,-0.021362305
exp19-35,ctrl25_10uM_vx770_vx809,r1,17.25,0.009155274
exp19-35,ctrl25_10uM_vx770_vx809,r1,17.33333333,-0.067138672
exp19-35,ctrl25_10uM_vx770_vx809,r1,17.41666667,-0.036621094
exp19-35,ctrl25_10uM_vx770_vx809,r1,17.5,-0.05493164
exp19-35,ctrl25_10uM_vx770_vx809,r1,17.58333333,-0.018310547
exp19-35,ctrl25_10uM_vx770_vx809,r1,17.66666667,0.033569336
exp19-35,ctrl25_10uM_vx770_vx809,r1,17.75,0.073242188
exp19-35,ctrl25_10uM_vx770_vx809,r1,17.83333333,0.128173828
exp19-35,ctrl25_10uM_vx770_vx809,r1,17.91666667,-0.048828125
exp19-35,ctrl25_10uM_vx770_vx809,r1,18,-0.045776367
exp19-35,ctrl25_10uM_vx770_vx809,r1,18.08333333,-0.091552734
exp19-35,ctrl25_10uM_vx770_vx809,r1,18.16666667,0.021362305
exp19-35,ctrl25_10uM_vx770_vx809,r1,18.25,0.103759766
exp19-35,ctrl25_10uM_vx770_vx809,r1,18.33333333,0.064086914
exp19-35,ctrl25_10uM_vx770_vx809,r1,18.41666667,-0.048828125
exp19-35,ctrl25_10uM_vx770_vx809,r1,18.5,-0.048828125
exp19-35,ctrl25_10uM_vx770_vx809,r1,18.58333333,-0.088500976
exp19-35,ctrl25_10uM_vx770_vx809,r1,18.66666667,-0.122070312
exp19-35,ctrl25_10uM_vx770_vx809,r1,18.75,-0.036621094
exp19-35,ctrl25_10uM_vx770_vx809,r1,18.83333333,0.057983399
exp19-35,ctrl25_10uM_vx770_vx809,r1,18.91666667,-0.122070312
exp19-35,ctrl25_10uM_vx770_vx809,r1,19,-0.094604492
exp19-35,ctrl25_10uM_vx770_vx809,r1,19.08333333,-0.021362305
exp19-35,ctrl25_10uM_vx770_vx809,r1,19.16666667,0.033569336
exp19-35,ctrl25_10uM_vx770_vx809,r1,19.25,0.012207031
exp19-35,ctrl25_10uM_vx770_vx809,r1,19.33333333,-0.051879883
